7.1082,9.93177,9.33441,-9.72341,
15.8171,10.0075,9.44535,-9.74066,
23.8608,10.1553,9.65373,-9.7767,
30.158,10.2561,9.82208,-9.80234,
36.9095,10.3552,10.0046,-9.82798,
45.8293,10.4164,10.125,-9.84785,
54.2047,10.4885,10.3219,-9.88131,
61.5293,10.5249,10.4771,-9.90904,
67.7619,10.5378,10.6827,-9.9397,
73.6758,10.5245,10.8479,-9.96394,
79.6922,10.4882,10.995,-9.98331,
86.0189,10.4383,11.1109,-9.99467,
92.2536,10.3283,11.2881,-10.01,
97.8723,10.2029,11.4286,-10.0175,
103.753,10.0754,11.5461,-10.0197,
110.096,9.87947,11.6863,-10.0159,
115.931,9.72296,11.7825,-10.0086,
122.228,9.44455,11.9144,-9.99183,
128.102,9.24581,11.9926,-9.9749,
134.103,9.02252,12.0641,-9.95536,
140.182,8.75527,12.1354,-9.93369,
146.067,8.57414,12.1736,-9.92076,
152.158,8.37233,12.2064,-9.91044,
158.323,8.09884,12.2339,-9.89359,
163.95,7.95746,12.2422,-9.88787,
169.786,7.7115,12.2448,-9.87916,
176.473,7.51422,12.2325,-9.87714,
182.737,7.34748,12.2164,-9.87946,
189.153,7.18608,12.1945,-9.8878,
195.436,6.99587,12.1551,-9.89866,
201.538,6.86055,12.1213,-9.90982,
207.583,6.67893,12.0616,-9.92475,
213.337,6.53093,12.005,-9.94263,
221.099,6.46702,11.9774,-9.9525,
229.126,6.33324,11.9106,-9.96998,
237.237,6.22952,11.8521,-9.98657,
244.151,6.12065,11.7824,-10.0044,
250.841,6.01068,11.7032,-10.0214,
257.535,5.88191,11.5936,-10.0436,
263.915,5.78555,11.4974,-10.0596,
270.202,5.72148,11.4191,-10.0712,
275.666,5.63278,11.2933,-10.0862,
281.961,5.58338,11.2049,-10.0968,
288.503,5.52825,11.0853,-10.1064,
294.73,5.48798,10.9696,-10.1144,
302.132,5.45833,10.8661,-10.1179,
307.998,5.4445,10.7767,-10.1197,
314.541,5.44386,10.7114,-10.119,
322.061,5.44039,10.5973,-10.1197,
329.346,5.44259,10.5119,-10.1192,
337.185,5.45634,10.4134,-10.1151,
344.406,5.47293,10.345,-10.1118,
351.302,5.49536,10.2775,-10.108,
357.591,5.51769,10.2295,-10.1053,
364.013,5.55625,10.1642,-10.1006,
